category,description,lang,rating_avg,title,has_rating,description_len
Children's Fiction,"The foundations of Jewish law are under threat from the followers of a man called Jesus. These people have reached Damascus. They must be stopped. Saul, uncompromising and brutal, is the man for the job. But by the time Saul reaches Damascus he is blind and in shock. What could have happened to him on that journey? How does a man react when his beliefs are turned upside down? Now calling himself Paul, can he convince his former enemies to trust him? Can he convince the world that Jesus's teachings are for everyone? Through treacherous journeys, passionate preaching and long letters, Paul tries to tell the world what he believes, but will it make any difference?",en,4.0,Paul of Tarsus,True,669
Children's Fiction,"As soon as Sara sees the beautiful black satin slippers in the shoe store window, she know they're the perfect Mother's Day gift for Mama. Sara has always made gifts for her family on special occasions, but this time she's determined to give a store-bought present--just like grown-ups do. But grown-ups have spending money, and Sara does not. Until she makes a plan...",en,3.73,A Gift for Mama,True,369
"Astronomy, Space & Time","37788 Suchan (1997 SK34) is a main-belt asteroid. Asteroids (from Greek 'star' and 'like, in form') are a class of Small Solar System Bodies in orbit around the Sun. They have also been called planetoids, especially the larger ones. These terms have historically been applied to any astronomical object orbiting the Sun that did not show the disk of a planet and was not observed to have the characteristics of an active comet, but as small objects in the outer Solar System were discovered, their volatile-based surfaces were found to more closely resemble comets, and so were often distinguished from traditional asteroids.",en,,37788 Suchan,False,625
"Astronomy, Space & Time",Start the school year right with this School Composition Book to inspire young minds! This is a MUST have WIDE RULED Notebook for 3rd Grade students who love astronomy and all things related to Outer Space.,en,,"3rd Grade Here I Come! : Astronaut in Outer Space Third Grade Composition Notebook (7.44"" x 9.69"" - Wide Ruled) Astronomy Back to School Supplies Gift",False,206
"Environmental Science, Engineering & Technology","""Five Easy Pieces"" features five contributions, originally published in ""Nature and Science"", demonstrating the massive impacts of modern industrial fisheries on marine ecosystems. Initially published over an eight-year period, from 1995 to 2003, these articles illustrate a transition in scientific thought - from the initially-contested realization that the crisis of fisheries and their underlying ocean ecosystems was, in fact, global to its broad acceptance by mainstream scientific and public opinion. Daniel Pauly, a well-known fisheries expert who was a co-author of all five articles, presents each original article here and surrounds it with a rich array of contemporary comments, many of which led Pauly and his colleagues to further study. In addition, Pauly documents how popular media reported on the articles and their findings. By doing so, he demonstrates how science evolves.",en,4.25,5 Easy Pieces : The Impact of Fisheries on Marine Ecosystems,True,893
Children's Fiction,William is up to his old tricks and ready for trouble!,en,4.24,William the Fourth,True,54
Children's Fiction,"A best friend is forever, isn't she?",en,4.23,Alice in the Middle,True,36
Children's Fiction,"After surviving the crazy events of his first weeks in New York City, nine-year-old Otis Dooda is starting out at a brand-new school. He would love to make a good impression, but life in Tidwell Towers is never that easy. With his disgusting seatmate, the possible impending alien invasion, and the introduction of his new nemesis, Sid Frackas ""The Greatest LEGO Genius Who Ever Lived"" (a title Otis thought was his!), things are getting downright dangerous!",en,3.82,Otis Dooda: Downright Dangerous,True,458
Children's Fiction,"Katie loves Halloween. Everyone is buzzing about the costume contest, the Halloween parade is just around the corner, and a mysterious black kitten has captured Katie's attention. But the busy holiday doesn't stop the magic wind! Join Katie in this Switcheroo Super Special for twice the switcheroos, and find out how she saves the day!",en,3.95,Witch Switch : Super Special,True,336
"Astronomy, Space & Time","The Pacific Rim Conference originally started with one research concentration only - binary star research. The first Conference was held in Beijing, China, 1985, the second one in Seoul and Taejon, South Korea, 1990 and the third one in Chiang Mai, Thailand, 1995. In recent years, the conference series evolved into a much broader area of stellar astrophysics. The first such conference was held in Hong Kong in 1997. Kwong-Sang Cheng, a. k. a. one of the three Musketeers, documented the ""accidental"" development in writing in the Proceedings of the 1997 Pacific Rim Conference on Stellar Astrophysics (Volume 138 of the ASP Conference Series)! The meeting at Hong Kong University of Science and Technology covered three major topics: binary stars, compact stars and solar type stars. The conference was extremely successful. There was a general feeling among the participants that the conference on stellar astrophysics provided a good means to share ideas between such closely related disciplines. Unfortunately after the very successful meeting at HKST, Kwing L. Chan (another Musketeer) thought that he had already served and would not like to chair for another LOC for at least five years! After a few drinks at one of the watering holes in Wan Chai district of Hong Kong, Kwong-Sang Cheng was in very hiRh spirit and volunteered to taking on the responsibility of hosting the 51 Pacific Rim Conference at Hong Kong University in 1999.",en,,Stellar Astrophysics,False,1442
Reference Works,"Cómo funciona el cuerpo humano explora los maravillosos procesos que ocurren dentro nuestro propio cuerpo, normalmente, sin que nos demos cuenta de ello. ¿Por qué nos mareamos o sentimos mariposas en el estómago? ¿Qué ocurre cuando sentimos jetlag? Estas son solo algunas de las intrigantes preguntas a las que conseguirás dar respuesta con este libro. Aprender sobre el cuerpo humano nunca fue tan sencillo y divertido. Este libro apoya la comprensión de los textos con increíbles ilustraciones a color, las cuales muestran detalles y curiosidades que ayudan a descubrir todos los secretos que esconde nuestro cuerpo.",es,4.37,Como Funciona El Cuerpo Humano : Guia Grafica de Nuestro Organismo,True,618
Children's Fiction,"After learning that the father he never knew is Poseidon, God of the Sea, Percy Jackson is transferred from boarding school to Camp Half-Blood, a summer camp for demigods, and becomes involved in a quest to prevent a war between the gods.",en,4.24,The Lightning Thief,True,238
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.",fr,,Les Terres Du Ciel; Voyage Astronomique Sur Les Autres Mondes Et Description Des Conditions Actuelles de la Vie Sur Les Diverses Planetes Du Systeme Solaire;,False,441
Children's Fiction,"Every page of these stimulating first fact books is crammed with fascinating facts that are vividly presented and accompanied by dozens of colorful illustrations. With additional fact lists and an index, children are sure to find these books both appealing and accessible.",en,3.46,1000 Facts about Space,True,272
Children's Fiction,Oluwalase Babatunde Benson is the number 1 car spotter in the village - maybe even the world!,en,4.33,The No. 1 Car Spotter and the Car Thieves,True,93
Children's Fiction,"Eeny meeny miney mo,",en,3.95,Lulu's Mysterious Mission,True,20
"Astronomy, Space & Time","Taking both a theoretical and observational perspective, this book is an introduction to recent developments in the field of celestial mechanics. It emphasizes the application to extended celestial bodies and devotes much attention to rotational aspects. In particular, it explains the state of art for accurate modelling of the rotation of celestial bodies such as the Earth, the Moon, and Mercury, which involves principles related to hydrodynamics and geodesy. Comparisons between the light curves of the asteroids and their rotational state are made and spatial techniques leading to the determination of the Earth's gravitational field are explained. Also, the book provides a general overview of the collisional processes in the solar system and of the dynamics of the rings. It is addressed to graduate students and researchers in space sciences and celestial dynamics.",en,,Dynamics of Extended Celestial Bodies And Rings,False,876
"Astronomy, Space & Time","The International School on Physics and Astrophysics of Ultra High Energy Cosmic Rays (UHECR2000) was held at the Observatoire de Paris-Meudon on June 26-29, 2000. This was the ?rst international school speci?cally dedicated to ultra high energy cosmic rays. Its aim was to familiarize with and attract students, physicists and astronomers into this quickly developing newresearch ?eld. The mysterious and currently unknown origin of the most energetic par- cles observed in Nature has triggered in recent years theoretical speculations ranging from electromagnetic acceleration to as yet undiscovered physics - yond the Standard Model. It has also lead to the development of several new detection concepts and experimental projects, some of which are currently - der construction. By its nature, the ?eld of ultra high energy cosmic rays is therefore highly interdisciplinary and borrows from astrophysics and cosmology, via particle physics, to experimental physics and observational astronomy. One main aspect of the school was to emphasize and take advantage of this interd- ciplinarity. The lectures were grouped into subtopics and are reproduced in this volume in the following order: After a general introductory lecture on cosmic rays follow two contributions on experimental detection techniques, followed by three lectures on acceleration in astrophysical objects. The next four contri- tions cover all major aspects of propagation and interactions of ultra high energy radiation, including speculative issues such as newinteractions.",en,,Physics and Astrophysics of Ultra High Energy Cosmic Rays,False,1544
Contemporary Fiction,'An extraordinary novel... as beautiful and as wrenching as anything I've ever read' Emily St. John Mandel,en,4.55,The Last Migration,True,106
Children's Fiction,"During the closing days of the Civil War, plucky 12-year-old Hannalee Reed, sent north to work in a Yankee mill, struggles to return to the family she left behind in war-torn Georgia. ""A fast-moving novel based upon an actual historical incident with a spunky heroine and fine historical detail.""--School Library Journal. Author's note.",en,3.86,"Turn Homeward, Hannalee",True,336
Children's Fiction,"""A bit like the great movie Toy Story and a bit like the wonderful Kate DiCamillo book The Miraculous Journey of Edward Tulane. This is a great family book."" --The Washington Post on Toys Go Out,  the companion to Toys Come Home  Here is the final book in the highly acclaimed Toys trilogy, which includes the companion books Toys Go Out and Toy Dance Party and chronicles the unforgettable adventures of three brave and loving toys.  Fans of the series, as well as newcomers, will happily discover how Lumphy, StingRay, and Plastic came to live with the Girl. In six linked adventures, readers will also learn how the one-eared Sheep became one-eared, watch a cranky toy meet an unfortunate end, and best of all, learn why it's okay for someone you truly love to puke on you. This is perhaps the most charming of three inimitably charming books destined to become classics. A Wall Street Journal Best Children's Book of the Year",en,4.26,Toys Come Home,True,929
Children's Fiction,"A group of very special teenagers. Each with an incredible power, they live together, protected by the government. Out in the ordinary world they know they must not use their powers. But good intentions are easy . . . following them through is another matter.",en,4.06,Unleashed 1: A Life & Death Job,True,259
"Astronomy, Space & Time","5707 Shevchenko (1976 GY3) is a main-belt asteroid discovered on April 2, 1976 by N. S. Chernykh at Nauchnyj. Asteroids (from Greek 'star' and 'like, in form') are a class of small Solar System bodies in orbit around the Sun. They have also been called planetoids, especially the larger ones. These terms have historically been applied to any astronomical object orbiting the Sun that did not show the disk of a planet and was not observed to have the characteristics of an active comet, but as small objects in the outer Solar System were discovered, their volatile-based surfaces were found to more closely resemble comets, and so were often distinguished from traditional asteroids.",en,,5707 Shevchenko,False,685
"Astronomy, Space & Time","3039 Yangel (1978 SP2) is a main-belt asteroid discovered on September 26, 1978 by L. Zhuravleva at Nauchnyj. It is named for the missile designer Mikhail Yangel. Asteroids (from Greek 'star' and 'like, in form') are a class of Small Solar System Bodies in orbit around the Sun. They have also been called planetoids, especially the larger ones. These terms have historically been applied to any astronomical object orbiting the Sun that did not show the disk of a planet and was not observed to have the characteristics of an active comet, but as small objects in the outer Solar System were discovered, their volatile-based surfaces were found to more closely resemble comets, and so were often distinguished from traditional asteroids.",en,,3039 Yangel,False,738
Children's Fiction,"So your mum's this brilliant scientist. She's just invented the most awesome Artificial Intelligence system. Its virtual world is the perfect place to forget about real life. Which is exactly what you want. But then a bug corrupts the system. It's violent and unpredictable. This is no ordinary glitch - someone's trying to sabotage it. You need to figure out who, and why. And fast!",en,3.62,Dangerous Reality,True,383
Children's Fiction,"A spine-chilling psychological thriller from stunning talent and author of The Dead House, Dawn Kurtagich. Sinister and creepily atmospheric, Dawn's second YA title is sure to grip fans of Stephen King, Kendare Blake and Juno Dawson.",en,3.54,The Creeper Man,True,233
Children's Fiction,"A girl from the forest arrives in a bustling kingdom with no name and no idea why she is there, only to find herself at the centre of a world at war. She enlists at Pennyroyal Academy, where princesses and knights are trained to battle the two great menaces of the day: witches and dragons. There, given the name ""Evie,"" she must endure a harsh training regimen under the steel glare of her Fairy Drillsergeant, while also navigating an entirely new world of friends and enemies. And with the witch forces moving nearer, she discovers that the war between princesses and witches is much more personal than she could ever have imagined. Set in Grimm's fairytale world, Pennyroyal Academy masterfully combines adventure, humour, and magical mischief.",en,3.8,Pennyroyal Academy,True,748
"Astronomy, Space & Time","Please note that the content of this book primarily consists of articles available from Wikipedia or other free sources online. 2004 AS1, also known by the temporary name AL00667, is a near-Earth asteroid, first discovered on January 13, 2004, by the LINEAR project. Although rather ordinary, it caused some controversy in astronomical circles due to initial projections posted on the web by the Minor Planet Center suggesting an imminent collision with Earth on or about January 15 with a likelihood of 1:4. These projections came from very early observations, and turned out to be inaccurate. In fact, the poster at the MPC had not realised that the data he had posted was essentially an impact prediction.",en,,2004 As1,False,708
Children's Fiction,Bella?',en,3.69,Eclipse,True,7
"Astronomy, Space & Time","Please note that the content of this book primarily consists of articles available from Wikipedia or other free sources online. 31 Camelopardalis is an eclipsing spectroscopic binary in the constellation Camelopardalis. It is approximately 405 light years from Earth. The binary system is classified as a white A-type main sequence dwarf with a mean apparent magnitude of +5.20. Both component stars are detached main sequence stars which do not fill their Roche lobes. Because the components regularly eclipse each other, 31 Camelopardalis is classified as a variable star and its brightness varies from magnitude +5.12 to +5.29 with a period of 2.93 days, which is the orbital period of the binary.",en,,31 Camelopardalis,False,700
Children's Fiction,"Jack and Annie travel back in time to medieval England for an adventure inside a storybook castle, from feasting hall to dreadful dungeon.",en,3.89,The Knight at Dawn,True,138
Children's Fiction,"In this nineteenth Goddess Girls adventure a new forest-mountain nymph shows up at Mount Olympus Academy and tries to fit. Echo is a forest-mountain nymph and the new girl at Mount Olympus Academy. She is a little nervous, so she tries to mimic all of the gestures, expressions, and slang of the cool MOA students. While imitation is supposed to be the best form of flattery, Echo's chattiness doesn't exactly endear her to her fellow classmates--in fact, it has the opposite effect! Will she be able to find a way to be herself and become friends with the students around her?",en,4.14,Echo the Copycat,True,577
Children's Fiction,Things are not going well at Starwood Elementary! A squirrel is running through the halls. A tree fell on the gym. The principal is acting weird! Can Freddie save the day with his Zapato Power?,en,3.94,Freddie Ramos Zooms to the Rescue,True,193
Children's Fiction,"From the author of the Ballpark Mysteries comes a brand-new sports-themed chapter book series featuring the coolest club around--the Most Valuable Players!   Five friends are ready for their school's Olympics field day. There will be relay races, archery contests, and more! But not everyone wants to play fair--someone is trying to ruin the events! Can the kids in the Most Valuable Player club solve the mystery, save the Olympics, and take home the gold?  Perfect for kids who love to compete in all kinds of contests and have fun with great friends, David A. Kelly's new series teaches readers that when you're a most valuable player, you love sports, always show spirit, and never give up! And don't miss bonus back matter filled with cool sports facts in every book.",en,3.73,Mvp #1 The Gold Medal Mess,True,772
Children's Fiction,"Is fuath le Thomas broga a chaitheamh. Is maith leis a bharraicini beaga. Is brea leis siul ar an bhfear agus ar na duilleoga. Ach, cad faoin sneachta? Cad a dheanfaidh se ansin?",ga,4.0,Broga Thomais,True,178
Children's Fiction,"Mortal rock star Orpheus steals the spotlight in this Goddess Girls tale of love and lyres! Orpheus is a mortal rock god, and the girls at Mount Olympus Academy are wild about him! With his lyre and singing voice, Orpheus can charm pretty much anything--even things like stones and trees. But Hades and the other MOA boys aren't charmed. In fact, they are less than thrilled that the girls are so gaga over this guy. His fans are especially excited about his latest song about the girl he loved and lost, Eurydice. Orpheus was devastated when he lost Eurydice to the Underworld, so he asks Persephone to help get her back. Though it means breaking some very serious Underworld rules, Persephone pushes Hades to return Eurydice to the living world. But restoring Orpheus's one true love might jeopardize Persephone's own chances with her biggest crush...",en,4.24,Persephone the Daring,True,853
Children's Fiction,"The five Kingdom Keepers and their core friends have uncovered a startling truth: Maleficent and the Overtakers (Disney villains) are plotting a catastrophic event that could have repercussions far beyond the world of Disney. Aboard the Disney Cruise Line's inaugural passage through the new Panama Canal, the Keepers and their holograms uncover a puzzle hidden within the pages of a stolen journal. The point of that puzzle will reveal itself in the caves of Aruba, the zip lines of Costa Rica, and the jungles of Mexico. A destructive force, dormant for decades, is about to be unleashed. The five Kingdom Keepers are to be its first victims.",en,4.18,Kingdom Keepers Vi : Dark Passage,True,644
"Astronomy, Space & Time","Originally published in 1953, this book first sets out some observational facts about comets, then the greater part of the book accounts for their origin and explains how comet tails are formed. The text contains 34 photographs of celebrated comets, including eight of Halley's comet. A comet index is also provided. This book will be of value to anyone with an interest in the development of astronomy and the history of science.",en,,The Comets and their Origin,False,430
"Environmental Science, Engineering & Technology","Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality,     authenticity, or access to any online entitlements included with the product.",en,2.77,50 Green Projects for the Evil Genius,True,192
"Astronomy, Space & Time","In diesem Werk vermittelt Prof. Arnold Hanslmeier moderne und faszinierende astronomische Kenntnisse. Das Buch beginnt mit der Beschreibung des Ursprungs des Universums und reicht bis hin zu dunkler Materie, schwarzen Loechern und der Entstehung des Sonnensystems. Abgerundet wird es am Ende schliesslich durch die spannende Frage: Sind wir allein im Universum?",de,5.0,Faszination Astronomie : Ein Topaktueller Einstieg Fur Alle Naturwissenschaftlich Interessierten,True,361
Contemporary Fiction,"A story set in London during the Blitz. With Gernan planes blitzing London, the wreckage can be an exciting place to play after the fear of the night has died down. Whilst exploring a bombed house one day, a lonely boy makes a friend whose father is an RAF pilot - much more exciting than his own air-raid warden dad. But it takes genuine danger to make him realise the difference between the heroism of fantasy and what people do when their courage is needed for real.",en,3.25,Blitz Boys,True,469
"Astronomy, Space & Time",The New Era of Composition Notebooks!,en,,"Composition Book Indigo Space Star Galaxy : Blue Green Earth Orbit Universe Astronaut Cosmic Galactic Wide Rule Notebook for Kids, Teens, Middle, High School, College Students, Teachers, Home School",False,37
Children's Fiction,"When Nickelodeon's Bubble Guppies discover a lonely rhino at the zoo, they are determined to find a friend for him. Boys and girls ages 3-7 who love animals will enjoy this full-color storybook about friendship--which includes over 30 stickers.",en,3.85,A Friend at the Zoo (Bubble Guppies),True,244
Children's Fiction,"This high-quality Spanish-language book can be enjoyed by fluent Spanish speakers as well as those learning the language, whether at home or in a classroom.",es,4.25,Harold Y El Lapiz Color Morado : Harold and the Purple Crayon (Spanish Edition),True,156
Children's Fiction,"In this sentimental favourite, young Cedric Errol learns that he is actually a British lord and heir to an estate and his life is transformed. He leaves Boston for Dorincourt Castle to live with his uncle, the Earl - a tyrant loathed by one and all. Will Cedric succeed in melting his cold, cruel uncle's heart? With ""Classic Starts[trademark]"", young readers can experience the wonder of these timeless stories from an early age. Abridged for easier reading and carefully rewritten, each classic novel is filled with all the magic and excitement that made the original story a beloved favourite.",en,4.03,Classic Starts (R): Little Lord Fauntleroy,True,596
Children's Fiction,"As Tilt, Perry, Sammi, and Dominic prepare to ascend Mt. Everest, they must deal with low supplies, high altitude, dangerous terrain, government officials, sabotage, and an approaching storm.",en,3.96,Everest: #3 The Summit,True,191
Children's Fiction,"A beautiful and timeless portrayal of friendship and the human spirit, The Secret Garden tells the story of the courage of two unhappy children who become determined to make their lives, and the lives of others around them, more joyful. Orphaned Mary Lennox is sent to live in her uncle's house on the Yorkshire moors, and the house is an unhappy one. Miserable and lonely, Mary starts to explore the house's gardens and she discovers a key to the secret garden.",en,4.13,The Secret Garden,True,462
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,"Monthly Notices of the Royal Astronomical Society, Volume 46",False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,Monthly Notices of the Royal Astronomical Society; Volume 58,False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,Monthly Notices of the Royal Astronomical Society; Volume 53,False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,Monthly Notices of the Royal Astronomical Society; Volume 68,False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,"Monthly Notices of the Royal Astronomical Society, Volume 32",False,1097
"Astronomy, Space & Time","This collection of literature attempts to compile many of the classic works that have stood the test of time and offer them at a reduced, affordable price, in an attractive volume so that everyone can enjoy them.",en,,"The Sun Changes Its Position in Space, Therefore It Cannot Be Regarded as Being in a Condition of Rest",False,212
"Astronomy, Space & Time","""Exposes 12 of the most enduring myths about space. Full-color spreads give readers essential information about each myth, including why it exists, the key players who proved it wrong, and what the truth really is.""--",en,,"Space Myths, Busted!",False,217
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,Side-Lights on Astronomy and Kindred Fields of Popular Science; Essays and Addresses,False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,"Lectures on Select Subjects in Mechanics, Hydrostatics, Pneumatics, Optics, and Astronomy",False,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,"The Simplicity of the Creation : Or, the Astronomical Monument of the Blessed Virgin, a New Theory of the Solar System",False,1097
"Astronomy, Space & Time",These pages present a collection of recent papers primarily documenting the nascent science of neutrino geophysics. Most of the papers followed from talks given at Neutrino Sciences 2005: Neutrino Geophysics held at the University of Hawaii in December 2005. Several papers were solicited later in an effort to make the collection as comprehensive as possible. Every paper was scrutinized by an external reviewer to assure the quality of scientific content.,en,,Neutrino Geophysics : Proceedings of Neutrino Sciences 2005,False,457
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,4.0,The Story of the Telescope,True,1097
"Astronomy, Space & Time","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,"The Action of Jupitor Upon Comet V, 1889",False,1097
History Of The Americas,"Though the Incas left no written records of their great civilization, the archaeological remains and accounts of Spanish conquistadors and priests paint a picture of a well-ordered, vast empire. In the mountains of Peru and Ecuador, traces of Inca culture remain today in the road system that winds through the Andes, where people practice a religion that mixes the Catholicism of the Spanish conquerors with the animism of the Inca. Living in small homes and storehouses that date back to Inca times, these people have been celebrating traditional festivals and market days for more than 800 years. Using accessible and lively prose, """"Empire of the Inca, Revised Edition"""" explores the history and culture of this fascinating civilization, highlighting the ideas and items that originated in the empire and are still encountered in the modern world, such as potatoes and jerky, words from the Quechua language, and mobile military field hospitals.",en,4.0,Empire of the Incas,True,949
Children's Fiction,"Like Mother, Like Daughter...",en,3.7,Freaky Friday,True,29
Children's Fiction,"Join Arthur and celebrate trips away from home with two favourite Arthur Adventures! In Arthur Goes To Camp, Arthur has had enough of Camp Meadowbrook's rotten food, poison ivy and barking counselors, but picks the wrong night for an easy escape.",en,3.9,Arthur Goes To Camp,True,246
Children's Fiction,"Athletics, basketball or ballet? The pressure is on and Riley has a big decision to make!",en,4.41,Silver Shoes 3 : Breaking Pointe,True,89
Children's Fiction,Get ready for an exciting fairy adventure   with the no. 1 bestselling series for girls aged 5 and up.,en,4.32,Rainbow Magic: Penelope the Foal Fairy : The Baby Farm Animal Fairies Book 3,True,102
Children's Fiction,"When Harley Quinn(TM) and her friends capture Superman(TM), Batman(TM) and Wonder Woman(TM), it's up to their sidekicks to save the day! Robin(TM), Batgirl(TM), and Supergirl(TM) willl have to use teamwork and friendship to get the job done-but will it be enough?!",en,3.81,LEGO DC Comics Super Heroes: Sidekick Showdown!,True,264
Children's Fiction,"""Dead girl walking,"" the boys say in the halls.",en,3.97,Wintergirls,True,47
